MTask_999_LagTestOutput File
Time 	Trial 	TargetName 	TargetNumber	HeadX 	HeadZ 	HeadAngle	LFootX 	LFootZ 	LFootAngle 	RFootX 	RFootZ 	RFootAngle	IsPredictedLocation
22236.13	0	None 	None	55.56891	103.2096	232.5559	55.45754	102.418	234.7922	55.54663	102.3356	229.8205	0
22336.24	0	None 	None	55.5685	103.2098	232.5863	55.45742	102.4183	234.7978	55.54663	102.3356	229.821	0
22436.39	0	None 	None	55.56924	103.2099	232.5155	55.45742	102.4183	234.7991	55.54669	102.3356	229.8169	0
22546.98	0	None 	None	55.56991	103.2092	232.4558	55.4573	102.4185	234.8029	55.54673	102.3356	229.8098	0
22658.3	0	None 	None	55.56984	103.2095	232.5379	55.45723	102.4185	234.7615	55.5468	102.3356	229.7934	0
22758.57	0	None 	None	55.56875	103.2101	232.6632	55.45753	102.4181	234.7652	55.54706	102.3351	229.8069	0
22868.77	0	None 	None	55.56812	103.2097	232.6815	55.4576	102.418	234.776	55.54706	102.3353	229.8039	0
22983.41	0	None 	None	55.56868	103.2095	232.6632	55.45765	102.4179	234.7925	55.54708	102.335	229.8136	0
23091.47	0	None 	None	55.56936	103.2092	232.4978	55.45766	102.4179	234.7951	55.54692	102.3352	229.8112	0
23202.23	0	None 	None	55.56931	103.2093	232.6071	55.45767	102.4178	234.8041	55.54704	102.3352	229.821	0
23302.69	0	None 	None	55.56845	103.2095	232.638	55.45758	102.4181	234.7994	55.54691	102.3352	229.8083	0
23402.92	0	None 	None	55.5686	103.209	232.6229	55.45739	102.4184	234.7996	55.54688	102.3353	229.8212	0
23512.78	0	None 	None	55.56924	103.2091	232.5922	55.45728	102.4185	234.7827	55.54682	102.3354	229.8154	0
23613.09	0	None 	None	55.5691	103.2092	232.5988	55.45742	102.4183	234.7835	55.54686	102.3354	229.8156	0
23723.71	0	None 	None	55.56876	103.2092	232.65	55.45736	102.4186	234.7813	55.54696	102.3352	229.817	0
23825.08	0	None 	None	55.56863	103.2094	232.6405	55.45745	102.4184	234.7894	55.54706	102.3351	229.8175	0
23935.5	0	None 	None	55.56888	103.209	232.6142	55.45739	102.4183	234.7992	55.54726	102.3346	229.8294	0
24046.35	0	None 	None	55.56881	103.2092	232.5992	55.45723	102.4187	234.7939	55.54706	102.335	229.8418	0
24147.19	0	None 	None	55.56866	103.2092	232.5831	55.4574	102.4181	234.7783	55.54714	102.3349	229.8389	0
24258.25	0	None 	None	55.56907	103.2092	232.5917	55.45763	102.4181	234.7849	55.54726	102.3347	229.8366	0
24369.26	0	None 	None	55.56922	103.2094	232.5696	55.45766	102.4178	234.798	55.54699	102.3351	229.8239	0
24476.24	0	None 	None	55.56931	103.2094	232.6003	55.45788	102.4176	234.7974	55.54702	102.3351	229.8232	0
